Week,File name,Title,Activity Type,Dataset,Key Learning Goal,,,
4,A04-distributions-activity,Mock Exam Questions: Describing Distributions,Seminar Activity,,"Interpret histograms to identify shape and spread; connect distribution shape to the relationship between mean and median; calculate mean, median, variance, and standard deviation by hand.",,,
5,A05-correlations-activity,Seminar Activity: Country-level Correlations,Seminar Activity,Quality of Government (QoG),"Identify variable types, choose the appropriate bivariate analytical tool, and produce and interpret cross-tabulations, bar charts of means, and scatterplots with regression lines in Stata.",,,
Reading Week,A06-reading-week-catchup,Catch-Up Activity: From Data Handling to Bivariate Interpretation,Catch-Up Activity,Quality of Government (QoG),"Set up a reproducible Stata workflow, describe univariate distributions, and produce and interpret bivariate output for students consolidating earlier material.",,,
7,A07a-sampling-activity,Seminar Activity: Sampling and Bias,Seminar Activity,,"Identify the population of interest, distinguish probability from non-probability sampling, and diagnose sources and direction of bias across a range of research scenarios.",,,
7,A07b-htests-weights,Seminar Activity: Weights and Visual Inference,Seminar Activity,British Election Study (BES) 2024,"Apply survey weights in Stata using svyset and svy: commands, and use marginsplots with confidence intervals to visually approximate hypothesis test conclusions.",,,
8,A08a-regression-activity,Seminar Activity: Bivariate Regression,Seminar Activity,Quality of Government (QoG),"Fit bivariate regression models in Stata, interpret slopes in substantive terms, and assess statistical significance using p-values, confidence intervals, and R-squared.",,,
8,A08b-ps2-workshop-1,PS2 Workshop 1: Exploration and Univariate Description,PS2 Workshop,"BES, QoG, Brexit Regional, or NSS","Choose a dataset, select and classify two variables, and produce univariate descriptive statistics in Stata as the first stage of Problem Set 2.",,,
9,A09a-confounding-reverse,Seminar Activity: Confounding Variables and Reverse Causality,Seminar Activity,,Identify potential threats to causal inference with reference to confounding variables and reverse causality,,,
9,A09b-ps2-workshop-2,PS2 Workshop 2: Bivariate Analysis and Hypothesis Test,PS2 Workshop,"BES, QoG, Brexit Regional, or NSS","Produce the bivariate visualisation, run the appropriate hypothesis test, and record key outputs including the estimated difference or coefficient, confidence interval, and p-value.",,,
10,A10b-ps2-workshop-3,PS2 Workshop 3: Interpretation and Discussion,PS2 Workshop,"BES, QoG, Brexit Regional, or NSS","Draft the interpretation of hypothesis test results in plain language, identify plausible confounders and reverse causality concerns, and note limitations of the analysis.",,,
11,A11-ps2-workshop-4,PS2 Workshop 4: Writing Up and Reviewing the Do-File,PS2 Workshop,"BES, QoG, Brexit Regional, or NSS","Assemble a complete first draft of the PS2 report with all five sections, insert tables and figures, and clean up the do-file for submission.",,,
